pose,start_ticks,physics_ticks,prepare_ticks,submit_ticks,hash,road_bytes
0,0,0,0,0,1990284955,0
1,0,0,0,2,1375286013,0
2,2,0,0,4,761151943,0
3,6,0,0,4,2899032635,0
4,10,0,0,4,872599450,0
5,14,0,0,4,824611647,0
6,18,0,0,4,777541552,0
7,22,0,0,4,1825901610,0
8,26,0,0,4,51205005,0
9,30,0,0,4,4144726455,0
10,34,0,0,4,2093411337,0
11,38,0,0,4,2545594437,0
12,42,0,0,4,1220631340,0
13,46,0,0,4,1038476441,0
14,50,0,0,4,2097639378,0
15,54,0,0,4,3851916500,0
16,58,0,0,4,2040192255,0
17,62,0,0,4,1053357489,0
18,66,0,0,4,840243915,0
19,70,0,0,4,3528211151,0
20,74,0,0,4,2379088510,0
21,78,0,0,4,3622734259,0
22,82,0,0,4,3336412276,0
23,86,0,0,4,3074210110,0
24,90,0,0,4,3420046065,0
25,94,0,0,4,4093922667,0
26,98,0,0,4,941450573,0
27,102,0,0,4,3939934681,0
28,106,0,0,4,30643792,0
29,110,0,0,4,2982523917,0
30,114,0,0,4,2173218198,0
31,118,0,0,4,2529153576,0
32,122,0,0,4,896410787,0
33,126,0,0,4,3957086437,0
34,130,0,0,4,2456560719,0
35,134,0,0,4,1588528291,0
36,138,0,0,4,851568290,0
37,142,0,0,4,513679911,0
38,146,0,0,4,2352822904,0
39,150,0,0,4,4074186642,0
40,154,0,0,4,23253717,0
41,158,0,0,4,288770463,0
42,162,0,0,4,1527719889,0
43,166,0,0,4,1932573677,0
44,170,0,0,4,1486688948,0
45,174,0,0,4,3690374145,0
46,178,0,0,4,1055366106,0
47,182,0,0,4,2302138556,0
48,186,0,0,4,1778883975,0
49,190,0,0,4,1336204825,0
50,194,0,0,4,1973094163,0
51,198,0,0,4,2272399287,0
52,202,0,0,4,449833798,0
53,206,0,0,4,487877403,0
54,210,0,0,4,1744150972,0
55,214,0,0,4,1067269734,0
56,218,0,0,4,3015746553,0
57,222,0,0,4,1560733267,0
58,226,0,0,4,2656836309,0
59,230,0,0,4,2844270401,0
60,234,0,0,4,1879720024,0
61,238,0,0,4,1978283509,0
62,242,0,0,4,4284212062,0
63,246,0,0,4,1859756176,0
# complete
