pose,start_ticks,physics_ticks,prepare_ticks,submit_ticks,hash,road_bytes
0,0,2,0,0,1990284955,0
1,2,0,0,2,1892111997,0
2,4,0,0,4,2292751431,0
3,8,0,0,4,2102052475,0
4,12,0,0,4,155756826,0
5,16,0,0,4,1792588991,0
6,20,0,0,4,4062114992,0
7,24,0,0,4,725334250,0
8,28,0,0,4,2123129549,0
9,32,0,0,4,2588403447,0
10,36,0,0,4,19661321,0
11,40,0,0,4,885617285,0
12,44,0,0,4,281685100,0
13,48,0,0,4,3883386969,0
14,52,0,0,4,2874204754,0
15,56,0,0,4,3807365332,0
16,60,0,0,4,826385919,0
17,64,0,0,4,1996525169,0
18,68,0,0,4,1056005835,0
19,72,0,0,4,1555035535,0
20,76,0,0,4,3430246078,0
21,80,0,0,4,1524757427,0
22,84,0,0,4,2288656116,0
23,88,0,0,4,1429473214,0
24,92,0,0,4,1898706993,0
25,96,0,0,4,722412779,0
26,100,0,0,4,1093241485,0
27,104,0,0,4,4104267673,0
28,108,0,0,4,1686419664,0
29,112,0,0,4,3747833357,0
30,116,0,0,4,2394587798,0
31,120,0,0,4,3668659624,0
32,124,0,0,4,1470181731,0
33,128,0,0,4,165446245,0
34,132,0,0,4,2595249487,0
35,136,0,0,4,3608308067,0
36,140,0,0,4,2759608802,0
37,144,0,0,4,176420711,0
38,148,0,0,4,1713169720,0
39,152,0,0,4,2061726354,0
40,156,0,0,4,2772576661,0
41,160,0,0,4,1920761567,0
42,164,0,0,4,825243601,0
43,168,0,0,4,4189905453,0
44,172,0,0,4,1260122612,0
45,176,0,0,4,2354479041,0
46,180,0,0,4,3713474266,0
47,184,0,0,4,1555385980,0
48,188,0,0,4,2656745671,0
49,192,0,0,4,2396093209,0
50,196,0,0,4,2107457875,0
51,200,0,0,4,3180947959,0
52,204,0,0,4,2846787846,0
53,208,0,0,4,3017332507,0
54,212,0,0,4,1517946748,0
55,216,0,0,4,2728704358,0
56,220,0,0,4,3544299257,0
57,224,0,0,4,2900245907,0
58,228,0,0,4,3632025365,0
59,232,0,0,4,468052481,0
60,236,0,0,4,3896394328,0
61,240,0,0,4,2038968501,0
62,244,0,0,4,3430418526,0
63,248,0,0,4,155125904,0
# complete
