pose,start_ticks,physics_ticks,prepare_ticks,submit_ticks,hash,road_bytes
0,0,0,0,0,1990284955,0
1,0,0,0,2,1892111997,0
2,2,0,0,4,2292751431,0
3,6,0,0,4,2102052475,0
4,10,0,0,4,155756826,0
5,14,0,0,4,1792588991,0
6,18,0,0,4,4062114992,0
7,22,0,0,4,725334250,0
8,26,0,0,4,2123129549,0
9,30,0,0,4,2588403447,0
10,34,0,0,4,19661321,0
11,38,0,0,4,885617285,0
12,42,0,0,4,281685100,0
13,46,0,0,4,3883386969,0
14,50,0,0,4,2874204754,0
15,54,0,0,4,3807365332,0
16,58,0,0,4,826385919,0
17,62,0,0,4,1996525169,0
18,66,0,0,4,1056005835,0
19,70,0,0,4,1555035535,0
20,74,0,0,4,3430246078,0
21,78,0,0,4,1524757427,0
22,82,0,0,4,2288656116,0
23,86,0,0,4,1429473214,0
24,90,0,0,4,1898706993,0
25,94,0,0,4,722412779,0
26,98,0,0,4,1093241485,0
27,102,0,0,4,4104267673,0
28,106,0,0,4,1686419664,0
29,110,0,0,4,3747833357,0
30,114,0,0,4,2394587798,0
31,118,0,0,4,3668659624,0
32,122,0,0,4,1470181731,0
33,126,0,0,4,165446245,0
34,130,0,0,4,2595249487,0
35,134,0,0,4,3608308067,0
36,138,0,0,4,2759608802,0
37,142,0,0,4,176420711,0
38,146,0,0,4,1713169720,0
39,150,0,0,4,2061726354,0
40,154,0,0,4,2772576661,0
41,158,0,0,4,1920761567,0
42,162,0,0,4,825243601,0
43,166,0,0,4,4189905453,0
44,170,0,0,4,1260122612,0
45,174,0,0,4,2354479041,0
46,178,0,0,4,3713474266,0
47,182,0,0,4,1555385980,0
48,186,0,0,4,2656745671,0
49,190,0,0,4,2396093209,0
50,194,0,0,4,2107457875,0
51,198,0,0,4,3180947959,0
52,202,0,0,4,2846787846,0
53,206,0,0,4,3017332507,0
54,210,0,0,4,1517946748,0
55,214,0,0,4,2728704358,0
56,218,0,0,4,3544299257,0
57,222,0,0,4,2900245907,0
58,226,0,0,4,3632025365,0
59,230,0,0,4,468052481,0
60,234,0,0,4,3896394328,0
61,238,0,0,4,2038968501,0
62,242,0,0,4,3430418526,0
63,246,0,0,4,155125904,0
# complete
